idx,abstract,true_domain,predicted_domain,true_area,predicted_area
0,Phytoplasmas are insect-vectored bacteria that cause disease in a wide range of plant species. The increasing availability of molecular DNA analyses. expertise and additional methods in recent years has led to a proliferation of discoveries of phytoplasma-plant host associations and in the numbers of taxonomic groupings for phytoplasmas. The widespread use of common names based on the diseases with which they are associated. as well as separate phenetic and taxonomic systems for classifying phytoplasmas based on variation at the 16S rRNA-encoding gene. complicates interpretation of the literature. We explore this issue and related trends through a focus on Australian pathosystems. providing the first comprehensive compilation of information for this continent. covering the phytoplasmas. host plants. vectors and diseases. Of the 33 16Sr groups reported internationally. only groups I. II. III. X. XI and XII have been recorded in Australia and this highlights the need for ongoing biosecurity measures to prevent the introduction of additional pathogen groups. Many of the phytoplasmas reported in Australia have not been sufficiently well studied to assign them to 16Sr groups so it is likely that unrecognized groups and sub-groups are present. Wide host plant ranges are apparent among well studied phytoplasmas. with multiple crop and non-crop species infected by some. Disease management is further complicated by the fact that putative vectors have been identified for few phytoplasmas. especially in Australia. Despite rapid progress in recent years using molecular approaches. phytoplasmas remain the least well studied group of plant pathogens. making them a "crouching tiger" disease threat....,biochemistry,biochemistry,Polymerase chain reaction,Immunology
0,Background: (-)-alpha-Bisabolol. also known as levomenol. is an unsaturated sesquiterpene alcohol that has mainly been used in pharmaceutical and cosmetic products due to its anti-inflammatory and skin-soothing properties. (-)-alpha-Bisabolol is currently manufactured mainly by steam-distillation of the essential oils extracted from the Brazilian candeia tree that is under threat because its natural habitat is constantly shrinking. Therefore. microbial production of (-)-alpha-bisabolol plays a key role in the development of its sustainable production from renewable feedstock. Results: Here. we created an Escherichia coli strain producing (-)-alpha-bisabolol at high titer and developed an in situ extraction method of (-)-alpha-bisabolol. using natural vegetable oils. We expressed a recently identified (-)-alpha-bisabolol synthase isolated from German chamomile (Matricaria recutita) (titer: 3 mg/L). converted the acetyl-CoA to mevalonate. using the biosynthetic mevalonate pathway (12.8 mg/L). and overexpressed farnesyl diphosphate synthase to efficiently supply the (-)-alpha-bisabolol precursor farnesyl diphosphate. Combinatorial expression of the exogenous mevalonate pathway and farnesyl diphosphate synthase enabled a dramatic increase in (-)-alpha-bisabolol production in the shake flask culture (80 mg/L) and 5 L bioreactor culture (342 mg/L) of engineered E. coli harboring (-)-alpha-bisabolol synthase. Fed-batch fermentation using a 50 L fermenter was conducted after optimizing culture conditions. resulting in efficient (-)-alpha-bisabolol production with a titer of 9.1 g/L. Moreover. a green. downstream extraction process using vegetable oils was developed for in situ extraction of (-)-alpha-bisabolol during fermentation and showed high yield recovery (>98%). Conclusions: The engineered E. coli strains and economically viable extraction process developed in this study will serve as promising platforms for further development of microbial production of (-)-alpha-bisabolol at large scale....,biochemistry,biochemistry,Molecular biology,Enzymology
1,A universal feature of the replication of positive-strand RNA viruses is the association with intracellular membranes. Carnation Italian ringspot virus (CIRV) replication in plants occurs in vesicles derived from the mitochondrial outer membrane. The product encoded by CIRV ORF1. p36. is required for targeting the virus replication complex to the outer mitochondrial membrane both in plant and yeast cells. Here the yeast Saccharomyces cerevisiae was used as a model host to study the effect of CIRV p36 on cell survival and death. It was shown that p36 does not promote cell death. but decreases cell growth rate. In addition. p36 changed the nature of acetic acid-induced cell death in yeast by increasing the number of cells dying by necrosis with concomitant decrease of the number of cells dying by programmed cell death. as judged by measurements of phosphatidylserine externalization. The tight association of p36 to membranes was not affected by acetic acid treatment. thus confirming the peculiar and independent interaction of CIRV p36 with mitochondria in yeast. This work proved yeast as an invaluable model organism to study both the mitochondrial determinants of the type of cell death in response to stress and the molecular pathogenesis of (+)RNA viruses. (C) 2016 Elsevier Ireland Ltd. All rights reserved....,biochemistry,biochemistry,Molecular biology,Molecular biology
2,1.2-Dichloropropane (1.2-DCP) and dichloromethane (DCM) are possible causative agents associated with the development of cholangiocarcinoma in employees working in printing plant in Osaka. Japan. However. few reports have demonstrated an association between these agents and cholangiocarcinoma in rodent carcinogenicity studies. Moreover. the combined effects of these compounds have not been fully elucidated. In the present study. we evaluated the in vivo mutagenicity of 1.2-DCP and DCM. alone or combined. in the livers of gpt delta rats. Six-week-old male F344 gpt delta rats were treated with 1.2-DCP. DCM or 1.2-DCP+DCM by oral administration for 4weeks at the dose (200mgkg(-1) body weight 1.2-DCP and 500mgkg(-1) body weight DCM) used in the carcinogenesis study performed by the National Toxicology Program. In vivo mutagenicity was analyzed by gpt mutation/Spi(-) assays in the livers of rats. In addition. gene and protein expression of CYP2E1 and GSTT1. the major enzymes responsible for the genotoxic effects of 1.2-DCP and DCM. were analyzed by quantitative polymerase chain reaction and western blotting. Gpt and Spi(-) mutation frequencies were not increased by 1.2-DCP and/or DCM in any group. Additionally. there were no significant changes in the gene and protein expression of CYP2E1 and GSTT1 in any group. These results indicated that 1.2-DCP. DCM and 1.2-DCP+DCM had no significant impact on mutagenicity in the livers of gpt delta rats under our experimental conditions. Copyright (c) 2016 John Wiley & Sons. Ltd....,biochemistry,Medical,Polymerase chain reaction,Cancer
3,This paper presents the simulation results of a linear. fully integrated. two-stage digitally programmable 130 nm CMOS power amplifier (PA) operating at 2.4 GHz. Its power stage is composed of a set of amplifying cells which can be enabled or disabled independently by a digital control circuit. All seven operational modes are univocal in terms of 1 dB output compression point (OCP1dB). saturated output power (P-SAT) and power gain at 2.4 GHz. The lowest power mode achieves an 8.1 dBm P-SAT. a 13.5 dB power gain and consumes 171 mW DC power (P-DC) at an OCP1dB of 6 dBm. whereas the highest power mode reaches an 18.9 dBm P-SAT and a 21.1 dB power gain and consumes 415 mW P-DC at an OCP1dB of 18.2 dBm....,ECE,ECE,Digital control,Digital control
4,The glycogen branching enzyme (EC 2.4.1.18). which catalyses the formation of alpha-1.6-glycosidic branch points in glycogen structure. is often used to enhance the nutritional value and quality of food and beverages. In order to be applicable in industries. enzymes that are stable and active at high temperature are much desired. Using genome mining. the nucleotide sequence of the branching enzyme gene (glgB) was extracted from the Geobacillus mahadia Geo-05 genome sequence provided by the Malaysia Genome Institute. The size of the gene is 2013 bp. and the theoretical molecular weight of the protein is 78.43 kDa. The gene sequence was then used to predict the thermostability. function and the three dimensional structure of the enzyme. The gene was cloned and overexpressed in E. coli to verify the predicted result experimentally. The purified enzyme was used to study the effect of temperature and pH on enzyme activity and stability. and the inhibitory effect by metal ion on enzyme activity. This thermostable glycogen branching enzyme was found to be most active at 55 degrees C. and the half-life at 60 degrees C and 70 degrees C was 24 h and 5 h. respectively. From this research. a thermostable glycogen branching enzyme was successfully isolated from Geobacillus mahadia Geo-05 by genome mining together with molecular biology technique....,biochemistry,biochemistry,Molecular biology,Enzymology
5,The microbial populations in the activated sludge of two Polish wastewater treatment plants (WWTPs) were identified and quantified using Illumina sequencing of 16S ribosomal RNA amplicons over a 2-year period. Their dynamics over time were compared to Danish WWTPs (data collected in previous studies by Center for Microbial Communities. Aalborg University). The bacterial communities in Polish and Danish WWTPs were similar to each other. but the microbial diversity in Polish WWTPs was lower. The dominant genera in Polish WWTPs were more abundant than in Danish WWTPs; 30 of them constituted more than half the of activated sludge community. Polish WWTPs showed a higher abundance of bacteria involved in nitrogen and chemical oxygen demand removal (Proteobacteria and Bacteroidetes). while polyphosphate-acculumating bacteria were the dominant bacterial group in Danish plants. The microbial community structures in the examined Polish WWTPs were relatively similar to each other and showed strong seasonal variations which are not normally observed in Danish WWTPs....,biochemistry,biochemistry,Molecular biology,DNA/RNA sequencing
6,Background: Broad-range 16S rRNA PCR can be used for the detection and identification of bacteria from clinical specimens in patients for whom there is a high suspicion of infection and cultures are negative. The aims of this study were (1) to compare 16S rRNA PCR results with microbiolog ical culture results. (2) to assess the utility of 16S rRNA PCR with regard to antimicrobial therapy. and (3) to compare the yield of 16S rRNA PCR for different types of clinical specimen and to perform a cost analysis of the test. Methods: A retrospective study was performed on different clinical specimens which had 16S performed over 3 years (2012-2015). Standard microbiological cultures were performed on appropriate media. as per the laboratory protocol. Patient clinical and microbiological data were obtained from the electronic medical records and laboratory information system. respectively. 16S rRNA PCR was performed in a reference laboratory using a validated method for amplification and sequencing. The outcomes assessed were the performance of 16S rRNA PCR. change of antimicrobials (rationalization. cessation. or addition). and duration of therapy. Concordance of 16S rRNA PCR with bacterial cultures was also determined for tissue specimens. Results: Thirty-two patients were included in the study. for whom an equal number of specimens (n = 32) were sent for 16S rRNA PCR. 16S rRNA PCR could identify an organism in 10 of 32 cases (31.2%). of which seven were culture-positive and three were culture-negative. The sensitivity was 58% (confidence interval (CI) 28.59-83.5%) and specificity was 85% (CI 61.13-96%). with a positive predictive value of 70% (CI 35.3-91.9%) and negative predictive value of 77.2% (CI 54.17-91.3%). Antimicrobial therapy was rationalized after 16S rRNA PCR results in five patients (15.6%) and was ceased in four based on negative results (12.5%). Overall the 16S rRNA PCR result had an impact on antimicrobial therapy in 28% of patients (9/32). The highest concordance of 16S rRNA PCR with bacterial culture was found for heart valve tissue (80%). followed by joint fluid/tissue (50%). Conclusions: Despite the low diagnostic yield. results of 16S rRNA PCR can still have a significant impact on patient management due to rationalization or cessation of the antimicrobial therapy. The yield of 16S rRNA PCR was highest for heart valves. (C) 2017 The Author(s). Published by Elsevier Ltd on behalf of International Society for Infectious Diseases....,biochemistry,Medical,Polymerase chain reaction,Osteoporosis
7,Brinjal little leaf (BLL) is a widespread disease of phytoplasma etiology in India that induces severe economic losses. Surveys were conducted in eight brinjalgrowing states of India during July 2014 to September 2015 and eighteen BLL samples showing little leaf. phyllody and witches' broom symptoms were collected for phytoplasma identification. Presence of phytoplasmas was confirmed in all the eighteen BLL samples using polymerase chain reaction with phytoplasma-specific primer pairs (P1/P6. R16F2n/R16R2). Pair wise sequence comparison and phylogenetic relationship of 16S rRNA gene sequences of BLL phytoplasma strains confirmed that sixteen out of eighteen BLL strains belonged to clover proliferation phytoplasma (16SrVI) group and two BLL strains (GKP-A and GKP-B) from Gorakhpur. Uttar Pradesh. were classified under 16SrII group. Further virtual RFLP analysis of 16S rDNA sequences allowed finer classification of BLL strains into 16SrII-D and 16SrVI-D subgroups. BLL phytoplasma strains belonging to 16SrVI-D subgroup were found as the most widespread phytoplasma strains associated with BLL disease in India. 16SrVI-D subgroup phytoplasma association with two symptomatic weed species viz. Cannabis sativa subsp. sativa at Noida. Uttar Pradesh and Portulaca oleracea at IARI fields. New Delhi was also confirmed by nested PCR assays with similar set of phytoplasma-specific primers. pairwise 16S rDNA sequence comparison. phylogeny and virtual RFLP analysis. Out of five identified leafhopper species from BLL-infected fields at Noida. Uttar Pradesh and Delhi. only Hishimonas phycitis was identified as carrier and natural vector of 16SrVI-D subgroup of phytoplasmas by nested PCR assays. sequence comparison. phylogeny. virtual RFLP analysis and transmission assays....,biochemistry,MAE,Polymerase chain reaction,Fluid mechanics
8,Surveys for the Cote d'Ivoire lethal yellowing (CILY) phytoplasma were conducted in eight severely CILY-affected villages of Grand-Lahou in 2015. Leaves. inflorescences and trunk borings were collected from coconut palms showing CILY symptoms and from symptomless trees. Total DNA was extracted from these samples and tested by nested polymerase chain reaction/RFLP and sequence analysis of the 16S rRNA. ribosomal protein (rp) and the translocation protein (secA) genes. The CILY phytoplasma was detected in 82.9% of the symptom-bearing palms collected from all the surveyed villages and from all the plant parts. Trunk borings were recommended as the most suitable plant tissue type for sampling. Results indicate that the CILY phytoplasma may have a westward spread to other coconut-growing areas of Grand-Lahou. CILY phytoplasma strains infecting coconut palms in the western region of Grand-Lahou exhibited unique single nucleotide polymorphisms on the rp sequence compared to the strains from the eastern region. Moreover. single nucleotide polymorphisms on the SecA sequence distinguished the CILY phytoplasma from the Cape St. Paul Wilt Disease phytoplasma in Ghana. and the Lethal Yellowing phytoplasma in Mozambique....,biochemistry,biochemistry,Polymerase chain reaction,Polymerase chain reaction
